datetime,nivel_api,nivel_tim,nivel_blu,previsao
2019-12-10 04:15:00,109.0,70.0,130.0,1
2019-12-10 04:30:00,109.0,71.0,123.0,1
2019-12-10 04:45:00,109.0,71.0,119.0,1
2019-12-10 05:00:00,109.0,71.0,114.0,1
2019-12-10 05:15:00,109.0,72.0,110.0,1
2019-12-10 05:30:00,109.0,72.0,105.0,1
2019-12-10 05:45:00,108.0,72.0,99.0,1
2019-12-10 06:00:00,108.0,72.0,93.0,1
2019-12-10 06:15:00,108.0,72.0,90.0,1
2019-12-10 06:30:00,108.0,73.0,85.0,1
2019-12-10 06:45:00,108.0,73.0,81.0,1
2019-12-10 07:00:00,108.0,73.0,76.0,1
2019-12-10 07:15:00,108.0,72.0,73.0,1
2019-12-10 07:30:00,108.0,72.0,69.0,1
2019-12-10 07:45:00,108.0,72.0,65.0,1
2019-12-10 08:00:00,108.0,72.0,62.0,1
2019-12-10 08:15:00,108.0,72.0,59.0,1
2019-12-10 08:30:00,108.0,72.0,57.0,1
2019-12-10 08:45:00,108.0,71.0,52.0,1
2019-12-10 09:00:00,108.0,71.0,46.0,1
2019-12-10 09:15:00,109.0,71.0,40.0,1
2019-12-10 09:30:00,109.0,70.0,38.0,1
2019-12-10 09:45:00,109.0,70.0,32.0,1
2019-12-10 10:00:00,109.0,70.0,30.0,1
2019-12-10 10:15:00,109.0,70.0,31.0,1
2019-12-10 10:30:00,109.0,70.0,32.0,1
2019-12-10 10:45:00,109.0,70.0,40.0,1
2019-12-10 11:00:00,109.0,70.0,42.0,1
2019-12-10 11:15:00,109.0,71.0,46.0,1
2019-12-10 11:30:00,109.0,71.0,52.0,1
2019-12-10 11:45:00,108.0,71.0,60.0,1
2019-12-10 12:00:00,108.0,71.0,63.0,1
2019-12-10 12:15:00,108.0,71.0,72.0,1
2019-12-10 12:30:00,107.0,71.0,74.0,1
2019-12-10 12:45:00,107.0,72.0,81.0,1
2019-12-10 13:00:00,107.0,72.0,86.0,1
2019-12-10 13:15:00,107.0,72.0,93.0,1
2019-12-10 13:30:00,107.0,72.0,100.0,1
2019-12-10 13:45:00,107.0,72.0,106.0,1
2019-12-10 14:00:00,107.0,72.0,111.0,1
2019-12-10 14:15:00,107.0,72.0,117.0,1
2019-12-10 14:30:00,107.0,72.0,118.0,1
2019-12-10 14:45:00,107.0,72.0,126.0,1
2019-12-10 15:00:00,108.0,72.0,125.0,1
2019-12-10 15:15:00,108.0,72.0,130.0,1
2019-12-10 15:30:00,108.0,71.0,127.0,1
2019-12-10 15:45:00,109.0,71.0,125.0,1
2019-12-10 16:00:00,109.0,71.0,121.0,1
2019-12-10 16:15:00,109.0,71.0,117.0,1
2019-12-10 16:30:00,109.0,71.0,112.0,1
2019-12-10 16:45:00,109.0,70.0,108.0,1
2019-12-10 17:00:00,109.0,70.0,102.0,1
2019-12-10 17:15:00,109.0,70.0,98.0,1
2019-12-10 17:30:00,108.0,70.0,93.0,1
2019-12-10 17:45:00,108.0,70.0,88.0,1
2019-12-10 18:00:00,108.0,69.0,83.0,1
2019-12-10 18:15:00,107.0,69.0,80.0,1
2019-12-10 18:30:00,106.0,69.0,76.0,1
2019-12-10 18:45:00,106.0,69.0,71.0,1
2019-12-10 19:00:00,106.0,69.0,67.0,1
2019-12-10 19:15:00,105.0,69.0,63.0,1
2019-12-10 19:30:00,105.0,69.0,60.0,1
2019-12-10 19:45:00,105.0,70.0,57.0,1
2019-12-10 20:00:00,105.0,70.0,55.0,1
2019-12-10 20:15:00,105.0,70.0,,1
2019-12-10 20:30:00,105.0,70.0,,1
2019-12-10 20:45:00,105.0,70.0,,1
2019-12-10 21:00:00,106.0,71.0,,1
2019-12-10 21:15:00,106.0,70.0,45.0,1
2019-12-10 21:30:00,106.0,70.0,45.0,1
2019-12-10 21:45:00,106.0,70.0,43.0,1
2019-12-10 22:00:00,106.0,71.0,41.0,1
2019-12-10 22:15:00,107.0,71.0,41.0,1
2019-12-10 22:30:00,107.0,70.0,40.0,1
2019-12-10 22:45:00,107.0,71.0,39.0,1
2019-12-10 23:00:00,107.0,71.0,40.0,1
2019-12-10 23:15:00,108.0,71.0,41.0,1
2019-12-10 23:30:00,108.0,71.0,44.0,1
2019-12-10 23:45:00,108.0,71.0,43.0,1
2019-12-11 00:00:00,109.0,71.0,50.0,1
2019-12-11 00:15:00,109.0,72.0,53.0,1
2019-12-11 00:30:00,109.0,72.0,60.0,1
2019-12-11 00:45:00,109.0,72.0,65.0,1
2019-12-11 01:00:00,109.0,72.0,73.0,1
2019-12-11 01:15:00,109.0,72.0,81.0,1
2019-12-11 01:30:00,109.0,73.0,89.0,1
2019-12-11 01:45:00,109.0,73.0,96.0,1
2019-12-11 02:00:00,109.0,73.0,103.0,1
2019-12-11 02:15:00,108.0,73.0,111.0,1
2019-12-11 02:30:00,108.0,74.0,117.0,1
2019-12-11 02:45:00,108.0,74.0,125.0,1
2019-12-11 03:00:00,108.0,74.0,133.0,1
2019-12-11 03:15:00,108.0,74.0,138.0,1
2019-12-11 03:30:00,108.0,74.0,145.0,1
2019-12-11 03:45:00,108.0,74.0,147.0,1
2019-12-11 04:00:00,108.0,74.0,149.0,1
2019-12-11 04:15:00,108.0,74.0,152.0,1
2019-12-11 04:30:00,108.0,74.0,148.0,1
2019-12-11 04:45:00,108.0,74.0,146.0,1
2019-12-11 05:00:00,108.0,74.0,140.0,1
2019-12-11 05:15:00,108.0,74.0,133.0,1
2019-12-11 05:30:00,109.0,74.0,128.0,1
2019-12-11 05:45:00,109.0,74.0,121.0,1
2019-12-11 06:00:00,109.0,74.0,115.0,1
2019-12-11 06:15:00,109.0,73.0,110.0,1
2019-12-11 06:30:00,109.0,73.0,104.0,1
2019-12-11 06:45:00,109.0,73.0,98.0,1
2019-12-11 07:00:00,110.0,73.0,94.0,1
2019-12-11 07:15:00,110.0,73.0,88.0,1
2019-12-11 07:30:00,110.0,73.0,84.0,1
2019-12-11 07:45:00,110.0,73.0,79.0,1
2019-12-11 08:00:00,110.0,73.0,74.0,1
2019-12-11 08:15:00,110.0,73.0,68.0,1
2019-12-11 08:30:00,110.0,73.0,66.0,1
2019-12-11 08:45:00,110.0,73.0,62.0,1
2019-12-11 09:00:00,110.0,73.0,59.0,1
2019-12-11 09:15:00,110.0,73.0,56.0,1
2019-12-11 09:30:00,110.0,73.0,54.0,1
2019-12-11 09:45:00,110.0,73.0,52.0,1
2019-12-11 10:00:00,110.0,73.0,50.0,1
2019-12-11 10:15:00,110.0,73.0,47.0,1
2019-12-11 10:30:00,110.0,73.0,46.0,1
2019-12-11 10:45:00,109.0,73.0,44.0,1
2019-12-11 11:00:00,109.0,73.0,45.0,1
2019-12-11 11:15:00,109.0,73.0,43.0,1
2019-12-11 11:30:00,109.0,72.0,43.0,1
2019-12-11 11:45:00,109.0,72.0,46.0,1
2019-12-11 12:00:00,109.0,72.0,49.0,1
2019-12-11 12:15:00,110.0,72.0,47.0,1
2019-12-11 12:30:00,110.0,72.0,55.0,1
2019-12-11 12:45:00,110.0,72.0,59.0,1
2019-12-11 13:00:00,110.0,72.0,67.0,1
2019-12-11 13:15:00,111.0,72.0,74.0,1
2019-12-11 13:30:00,111.0,72.0,77.0,1
2019-12-11 13:45:00,111.0,73.0,87.0,1
2019-12-11 14:00:00,111.0,73.0,91.0,1
2019-12-11 14:15:00,112.0,73.0,100.0,1
2019-12-11 14:30:00,112.0,73.0,106.0,1
2019-12-11 14:45:00,112.0,73.0,113.0,1
2019-12-11 15:00:00,112.0,73.0,118.0,1
2019-12-11 15:15:00,112.0,72.0,125.0,1
2019-12-11 15:30:00,112.0,72.0,127.0,1
2019-12-11 15:45:00,112.0,72.0,129.0,1
2019-12-11 16:00:00,112.0,71.0,130.0,1
2019-12-11 16:15:00,111.0,71.0,126.0,1
2019-12-11 16:30:00,111.0,70.0,125.0,1
2019-12-11 16:45:00,111.0,69.0,120.0,1
2019-12-11 17:00:00,111.0,69.0,116.0,1
2019-12-11 17:15:00,111.0,68.0,112.0,1
2019-12-11 17:30:00,110.0,68.0,107.0,1
2019-12-11 17:45:00,110.0,67.0,102.0,1
2019-12-11 18:00:00,110.0,67.0,97.0,1
2019-12-11 18:15:00,109.0,67.0,92.0,1
2019-12-11 18:30:00,109.0,67.0,88.0,1
2019-12-11 18:45:00,109.0,67.0,83.0,1
2019-12-11 19:00:00,109.0,67.0,79.0,1
2019-12-11 19:15:00,109.0,68.0,73.0,1
2019-12-11 19:30:00,109.0,69.0,70.0,1
2019-12-11 19:45:00,109.0,70.0,67.0,1
2019-12-11 20:00:00,109.0,71.0,63.0,1
2019-12-11 20:15:00,109.0,72.0,59.0,1
2019-12-11 20:30:00,109.0,73.0,56.0,1
2019-12-11 20:45:00,110.0,73.0,54.0,1
2019-12-11 21:00:00,110.0,74.0,51.0,1
2019-12-11 21:15:00,110.0,74.0,50.0,1
2019-12-11 21:30:00,110.0,74.0,47.0,1
2019-12-11 21:45:00,110.0,74.0,45.0,1
2019-12-11 22:00:00,110.0,74.0,44.0,1
2019-12-11 22:15:00,110.0,74.0,43.0,1
2019-12-11 22:30:00,109.0,74.0,41.0,1
2019-12-11 22:45:00,109.0,74.0,40.0,1
2019-12-11 23:00:00,109.0,73.0,39.0,1
2019-12-11 23:15:00,109.0,73.0,38.0,1
2019-12-11 23:30:00,109.0,73.0,39.0,1
2019-12-11 23:45:00,109.0,73.0,38.0,1
2019-12-12 00:00:00,108.0,73.0,37.0,1
2019-12-12 00:15:00,108.0,73.0,36.0,1
2019-12-12 00:30:00,108.0,73.0,38.0,1
2019-12-12 00:45:00,108.0,73.0,41.0,1
2019-12-12 01:00:00,108.0,73.0,44.0,1
2019-12-12 01:15:00,107.0,72.0,47.0,1
2019-12-12 01:30:00,107.0,72.0,53.0,1
2019-12-12 01:45:00,107.0,72.0,59.0,1
2019-12-12 02:00:00,107.0,72.0,68.0,1
2019-12-12 02:15:00,107.0,72.0,72.0,1
